Day,Active Cases,Deaths,Recoveries
0,0,0,3
1,0,0,3
2,0,0,3
3,0,0,3
4,0,0,3
5,0,0,3
6,0,0,3
7,0,0,3
8,0,0,3
9,0,0,3
10,0,0,3
11,0,0,3
12,0,0,3
13,0,0,3
14,0,0,3
15,0,0,3
16,3,0,3
17,4,0,3
18,26,0,3
19,27,0,3
20,28,0,3
21,31,0,3
22,37,0,3
23,43,0,4
24,58,0,4
25,58,0,4
26,69,1,4
27,70,2,10
28,88,2,10
29,99,2,13
30,114,2,13
31,126,3,14
32,152,3,14
33,170,4,20
34,221,5,23
35,304,5,23
36,365,7,24
37,455,10,34
38,486,10,40
39,602,12,43
40,662,20,45
41,794,20,73
42,879,24,84
43,902,27,95
44,1117,32,102
45,1239,35,123
46,1792,58,148
47,2280,72,191
48,2781,86,192
49,3260,99,229
50,3843,118,328
51,4267,136,375
52,4723,160,468
53,5232,178,506
54,5863,227,635
55,6577,249,774
56,7189,288,969
57,7794,331,1080
58,8914,358,1181
59,9735,393,1359
60,10440,422,1508
61,11214,448,1768
62,11825,486,2041
63,13381,521,2463
64,14202,559,2854
65,14674,592,3273
66,15460,645,3975
67,16319,681,4370
68,17306,721,5012
69,18171,780,5496
70,19519,825,5939
71,20486,881,6523
72,21375,939,7137
73,22569,1008,7747
74,23546,1079,8437
75,24641,1154,9068
76,26027,1223,10007
77,27557,1323,10819
78,29339,1391,11775
79,32024,1566,12847
80,33565,1693,14142
81,35871,1785,15331
82,37686,1889,16776
83,39823,1985,17887
84,41406,2101,19301
85,43980,2212,20969
86,45925,2294,22549
87,47457,2415,24420
88,49104,2551,26400
89,51379,2649,27969
90,52773,2753,30258
91,53553,2871,34224
92,55878,3025,36795
93,57939,3156,39233
94,60864,3302,42309
95,63172,3434,45422
96,66089,3584,48553
97,69244,3726,51824
98,73170,3868,54385
99,76820,4024,57692
100,80072,4172,60706
101,82172,4344,64277
102,85803,4534,67749
103,89755,4711,70920
104,85884,4980,82627
105,89706,5185,86936
106,93349,5408,91852
107,97008,5608,95754
108,101077,5829,100285
109,106665,6088,104071
110,111900,6363,108450
111,116302,6649,113233
112,120981,6946,118695
113,126431,7207,123848
114,129360,7473,129095
115,132896,7719,134165
116,138069,8107,140979
117,142810,8501,146972
118,146482,8890,154231
119,150101,9199,162326
120,153574,9520,169689
121,152791,9915,180320
122,154688,11921,187552
123,160564,12262,194438
124,163305,12604,205182
125,168636,12970,214206
126,170269,13277,228181
127,175955,13703,237252
128,178298,14015,248137
129,183058,14483,258574
130,186390,14907,271688
131,190191,15308,285671
132,197840,15689,295917
133,203328,16103,310146
134,210936,16487,321774
135,215361,16904,335271
136,220546,17410,347836
137,227476,17848,359896
138,229041,18225,379902
139,236901,18669,394319
140,245563,19279,409062
141,253245,19700,424891
142,260022,20174,440150
143,265770,20653,457058
144,271354,21144,476554
145,277259,21623,495960
146,284253,22144,516206
147,291440,22687,536231
148,301850,23187,554429
149,311806,23727,572112
150,320092,24315,593080
151,331505,24929,613735
152,343426,25609,636602
153,360094,26285,654078
154,373406,26828,677630
155,390205,27503,700399
156,402116,28099,724702
157,412922,28770,752393
158,425528,29890,784266
159,439892,30645,817593
160,455509,31406,850107
161,467163,32096,886235
162,484472,32812,918735
163,495866,33448,953189
164,509141,34224,988770
165,527770,35003,1021611
166,544471,35786,1059093
167,564856,36551,1095647
168,567637,37403,1146879
169,579313,38161,1187228
170,585920,38971,1230440
171,585133,39820,1281660
172,595300,40739,1327200
173,606387,41628,1377394
174,616617,42578,1427669
175,628763,43453,1479804
176,635393,44466,1534278
177,640160,45353,1581640
178,644116,46188,1638101
179,652473,47138,1695860
180,660833,48144,1750636
181,668532,49134,1807556
182,678452,50084,1860672
183,678195,51045,1919076
184,673431,51925,1976248
185,676909,53014,2036703
186,685760,53994,2096068
187,691413,54975,2157941
188,696641,55928,2220799
189,706690,56846,2279900
190,710697,57692,2336796
191,703234,58546,2403101
192,704890,59612,2467252
193,723677,60629,2523443
194,739818,61694,2583063
195,750989,62713,2647538
196,763535,63657,2708520
197,781624,64617,2772928
198,785127,65435,2837377
199,800127,66460,2899521
200,814086,67486,2967396
201,829668,68569,3034887
202,846092,69535,3104612
203,862487,70679,3177673
204,883578,71687,3247297
205,883348,72816,3321420
206,897486,73923,3396027
207,918790,75091,3469084
208,943438,76304,3539983
209,958435,77506,3621438
210,973876,78614,3699298
211,988205,79754,3777044
212,989860,80808,3856246
213,996832,82091,3939111
214,1010614,83230,4022049
215,1018454,84404,4109828
216,1014649,85625,4205201
217,1011732,86774,4299724
218,1005053,87909,4392650
219,976420,88965,4494720
220,968655,90021,4581820
221,967161,91173,4671850
222,970795,92317,4752991
223,961993,93410,4846168
224,957359,94534,4938688
225,964407,95574,5013367
226,948095,96351,5098573
227,941356,97529,5184634
228,941552,98708,5270007
229,943503,99804,5348653
230,945982,100875,5425077
231,938869,101812,5506732
232,936013,102714,5583453
233,919363,103600,5659110
234,908335,104591,5741253
235,902972,105544,5824472
236,894084,106521,5903207
237,884053,107450,5985505
238,868309,108371,6074863
239,863689,109184,6146427
240,838879,109894,6224792
241,827760,110617,6298705
242,813303,111311,6380456
243,804705,112146,6448658
244,795969,113032,6521634
245,784264,114064,6594399
246,773701,114642,6659895
247,748883,115236,6730617
248,740658,115950,6792550
249,716610,116653,6871895
250,695979,117336,6946325
251,682107,117992,7013569
252,669602,118567,7075723
253,656026,119030,7133994
254,627638,119535,7198715
255,611605,120054,7257194
256,603251,120563,7314951
257,595017,121131,7371898
258,583574,121681,7430911
259,571529,122149,7489203
260,563775,122642,7542905
261,542346,123139,7601429
262,534540,123650,7654757
263,528428,124354,7710630
264,521242,125029,7764763
265,516722,125605,7818558
266,513750,126122,7867331
267,511551,126653,7915660
268,506765,127104,7957206
269,496295,127615,8011844
270,491326,128165,8064548
271,485869,128686,8113345
272,482551,129225,8161467
273,481491,129674,8203737
274,467558,130109,8247950
275,455444,130559,8288169
276,448660,131031,8333013
277,444755,131618,8381770
278,445107,132202,8427016
279,441952,132764,8475897
280,442606,133263,8520039
281,445095,133773,8561444
282,439893,134254,8603575
283,445851,134743,8641404
284,453450,135261,8677986
285,456410,135752,8717709
286,456100,136238,8758886
287,455145,136733,8801161
288,448585,137177,8846313
289,437000,137569,8888685
290,429753,138159,8931798
291,424710,138657,8970104
292,416869,139227,9015684
293,410679,139736,9058003
294,404367,140216,9099946
295,398040,140590,9138171
296,385269,140994,9177645
297,379771,141398,9214806
298,376086,141735,9244505
299,364582,142222,9290188
300,360572,142662,9323792
301,357446,143055,9356879
302,353715,143393,9387608
303,340929,143746,9421832
304,332985,144130,9455793
305,317442,144487,9489143
306,312961,144829,9520044
307,309731,145171,9549923
308,306465,145513,9579681
309,305015,145843,9605390
310,293663,146145,9635614
311,290135,146476,9662697
312,284705,146778,9692061
313,283142,147128,9717198
314,283057,147379,9739382
315,279885,147659,9760848
316,278840,147940,9781945
317,269840,148190,9806767
318,263512,148475,9833339
319,258747,148774,9859762
320,255525,149018,9881786
321,252275,149205,9901929
322,248633,149471,9926527
323,245474,149686,9946131
324,232343,149886,9975340
325,28826,150151,10196501
326,229403,150372,10016163
327,226716,150606,10036722
328,225756,150835,10055935
329,224903,151048,10075395
330,224103,151198,10092130
331,217839,151364,10110710
332,215795,151564,10128457
333,214812,151765,10146254
334,214472,151954,10162082
335,212646,152130,10178883
336,210215,152311,10196184
337,209519,152456,10210697
338,202202,152593,10227852
339,198596,152754,10245092
340,193650,152906,10265163
341,190244,153067,10282889
342,187260,153221,10300063
343,185936,153376,10316123
344,185922,153508,10329244
345,178808,153624,10345278
346,178200,153751,10358328
347,175328,153885,10372818
348,173762,154047,10393162
349,171808,154184,10408034
350,170670,154312,10422109
351,170203,154428,10433988
352,165234,154522,10447450
353,161865,154635,10461706
354,156873,154742,10479508
355,153270,154862,10495401
356,150476,154956,10509790
357,150733,155028,10521409
358,150653,155114,10533076
359,145690,155195,10546905
360,143416,155280,10559604
361,144032,155399,10571629
362,137578,155484,10587351
363,138253,155588,10598709
364,193277,155673,10555788
365,141325,155764,10619083
366,138579,155840,10630892
367,138254,155949,10642903
368,138802,156038,10654706
369,140998,156123,10665068
370,144654,156240,10675882
371,147214,156339,10687538
372,151639,156418,10697014
373,148882,156498,10710483
374,148584,156598,10724144
375,153178,156742,10736550
376,157418,156861,10748759
377,160985,156970,10758139
378,166078,157087,10773275
379,170293,157195,10784568
380,169786,157275,10796558
381,171776,157385,10810162
382,175044,157471,10824233
383,177967,157584,10838021
384,181997,157693,10852174
385,186253,157791,10866536
386,190501,157890,10880880
387,189172,157966,10897486
388,185767,158079,10917624
389,190295,158213,10935803
390,200401,158326,10947252
391,203661,158483,10971347
392,212147,158642,10987855
393,220951,158762,11005445
394,225072,158892,11025631
395,236008,159079,11043377
396,253882,159250,11061170
397,273032,159405,11081508
398,290152,159594,11105149
399,310801,159790,11128119
400,336392,160003,11149324
401,347071,160200,11179059
402,370101,160477,11203016
403,396696,160726,11229591
404,422596,160983,11262503
405,454249,161275,11292849
406,487840,161586,11321578
407,523602,161881,11353727
408,542353,162147,11390829
409,553933,162502,11432052
410,585215,162960,11472494
411,615798,163428,11522884
412,659928,164141,11567060
413,692350,164655,11627122
414,742830,165132,11679958
415,788855,165577,11730045
416,843779,166208,11789759
417,910264,166892,11848905
418,979519,167694,11910741
419,1046376,168467,11987940
420,1107827,169305,12078333
421,1201457,170209,12153713
422,1264544,171089,12250440
423,1366518,172115,12332688
424,1471592,173152,12426146
425,1569427,174335,12543978
426,1679121,175673,12666889
427,1800199,177168,12805094
428,1930126,178793,12948848
429,2030944,180550,13103220
430,2156571,182570,13269863
431,2290728,184672,13449406
432,2428775,186928,13641606
433,2550788,189549,13862119
434,2681378,192310,14078081
435,2814544,195116,14296640
436,2882513,197880,14545342
437,2979768,201165,14807704
438,3085008,204812,15078276
439,3172906,208313,15373765
440,3272256,211835,15673003
441,3352361,215523,15981772
442,3419032,218945,16281738
443,3452457,222383,16600703
444,3493665,226169,16938400
445,3571625,230151,17269076
446,3653804,234071,17597383
447,3731261,238265,17917085
448,3742015,242398,18311498
449,3750998,246146,18665266
450,3720695,250025,19021207
451,3709551,254225,19376650
452,3716045,258351,19728436
